Employee ID,Name,Age,Department,Salary,Performance Score,Years at Company,Promotion Status,,,,,,,,,,,
1123,Employee_123,59,Support,70757,4.4,30,No,,,,,,,,,,,
1124,Employee_124,60,Marketing,94687,4.4,6,Yes,,,,,,,,,,,
1125,Employee_125,26,HR,97914,3.2,12,Yes,,,,,,,,,,,
1126,Employee_126,24,Support,68914,3.3,5,No,,,,,,,,,,,
1127,Employee_127,38,Support,148574,2.9,25,Yes,,,,,,,,,,,
1128,Employee_128,23,HR,110424,3.5,26,No,,,,,,,,,,,
1129,Employee_129,25,Finance,127792,4.2,15,No,,,,,,,,,,,
1130,Employee_130,25,Support,120773,4.5,15,Yes,,,,,,,,,,,
1131,Employee_131,41,Marketing,128693,3.7,8,Yes,,,,,,,,,,,
1132,Employee_132,47,HR,104747,4.6,5,Yes,,,,,,,,,,,
1133,Employee_133,22,IT,70253,3.2,30,Yes,,,,,,,,,,,
1134,Employee_134,44,Sales,128119,4.8,1,Yes,,,,,,,,,,,
1135,Employee_135,45,Marketing,125794,4,24,Yes,,,,,,,,,,,
1136,Employee_136,56,IT,65952,4.2,19,No,,,,,,,,,,,
1137,Employee_137,32,Marketing,42700,4.9,13,No,,,,,,,,,,,
1138,Employee_138,47,Support,143264,2.7,30,No,,,,,,,,,,,
1139,Employee_139,41,IT,64357,4.3,7,Yes,,,,,,,,,,,
1140,Employee_140,35,Finance,135167,2.7,28,No,,,,,,,,,,,
1141,Employee_141,29,IT,62430,4.1,14,Yes,,,,,,,,,,,
1142,Employee_142,49,Sales,48053,5,9,No,,,,,,,,,,,
1143,Employee_143,49,Sales,149724,3.4,16,No,,,,,,,,,,,
1144,Employee_144,47,Finance,96638,3.4,12,No,,,,,,,,,,,
1145,Employee_145,39,HR,40023,3.2,11,Yes,,,,,,,,,,,
1146,Employee_146,42,HR,55372,5,2,No,,,,,,,,,,,
1147,Employee_147,40,Support,63137,3.3,20,No,,,,,,,,,,,
1148,Employee_148,37,Support,118989,2.8,8,Yes,,,,,,,,,,,
1149,Employee_149,35,Marketing,40617,3,7,No,,,,,,,,,,,
1150,Employee_150,57,Sales,105825,3.3,2,No,,,,,,,,,,,
1151,Employee_151,58,Finance,63164,3.7,11,No,,,,,,,,,,,
1152,Employee_152,60,Marketing,106175,2.7,26,No,,,,,,,,,,,
1153,Employee_153,22,Marketing,130212,4.4,7,No,,,,,,,,,,,
1154,Employee_154,28,Marketing,124893,4.2,1,No,,,,,,,,,,,
1155,Employee_155,29,Operations,104741,4.2,18,Yes,,,,,,,,,,,
1156,Employee_156,44,Marketing,103073,2.7,23,No,,,,,,,,,,,
1157,Employee_157,56,Finance,82195,4.2,4,Yes,,,,,,,,,,,
1158,Employee_158,24,HR,137200,3.3,27,Yes,,,,,,,,,,,
1159,Employee_159,44,Operations,80283,3.2,21,No,,,,,,,,,,,
1160,Employee_160,59,Sales,68551,4,10,Yes,,,,,,,,,,,
1161,Employee_161,56,Support,86535,4.6,17,Yes,,,,,,,,,,,
1162,Employee_162,60,Support,110080,4.4,19,Yes,,,,,,,,,,,
1163,Employee_163,41,Support,72254,4.9,30,Yes,,,,,,,,,,,
1164,Employee_164,60,Finance,59637,3.9,10,Yes,,,,,,,,,,,
1165,Employee_165,24,Operations,85174,3.1,26,Yes,,,,,,,,,,,
1166,Employee_166,23,Operations,77970,3.7,20,Yes,,,,,,,,,,,
1167,Employee_167,58,Finance,118892,2.7,26,No,,,,,,,,,,,
1168,Employee_168,45,IT,130904,2.6,6,Yes,,,,,,,,,,,
1169,Employee_169,57,Support,133378,3.1,9,No,,,,,,,,,,,
1170,Employee_170,55,Operations,137198,2.9,25,Yes,,,,,,,,,,,
1171,Employee_171,55,Sales,59405,3.3,28,Yes,,,,,,,,,,,
1172,Employee_172,32,HR,115779,2.6,14,Yes,,,,,,,,,,,
1173,Employee_173,58,Sales,82901,4.6,8,Yes,,,,,,,,,,,
1174,Employee_174,22,IT,140288,3.7,19,Yes,,,,,,,,,,,
1175,Employee_175,39,Sales,120800,2.8,27,No,,,,,,,,,,,
1176,Employee_176,43,Sales,125513,4.4,14,No,,,,,,,,,,,
1177,Employee_177,54,Sales,115925,4.6,9,No,,,,,,,,,,,
1178,Employee_178,33,Operations,93920,3.5,28,Yes,,,,,,,,,,,
1179,Employee_179,31,Finance,117085,4.1,3,No,,,,,,,,,,,
1180,Employee_180,47,Support,112426,4.9,27,No,,,,,,,,,,,
1181,Employee_181,28,IT,95896,3.5,26,No,,,,,,,,,,,
1182,Employee_182,38,IT,40701,3.3,27,No,,,,,,,,,,,
1183,Employee_183,57,Marketing,127132,4.9,2,No,,,,,,,,,,,
1184,Employee_184,41,Operations,119739,3.1,27,No,,,,,,,,,,,
1185,Employee_185,51,HR,131377,4.2,2,No,,,,,,,,,,,
1186,Employee_186,38,Finance,44826,2.7,22,No,,,,,,,,,,,
1187,Employee_187,41,Operations,54653,3.4,19,Yes,,,,,,,,,,,
1188,Employee_188,36,Sales,76645,2.5,12,Yes,,,,,,,,,,,
1189,Employee_189,46,Finance,57793,3.4,6,No,,,,,,,,,,,
1190,Employee_190,33,Support,107302,4.5,14,Yes,,,,,,,,,,,
1191,Employee_191,55,IT,71990,4.6,4,Yes,,,,,,,,,,,
1192,Employee_192,53,Marketing,55228,2.6,11,Yes,,,,,,,,,,,
1193,Employee_193,39,Finance,98382,4,21,Yes,,,,,,,,,,,
1194,Employee_194,57,HR,103400,2.6,21,No,,,,,,,,,,,
1195,Employee_195,28,Operations,84594,2.9,26,Yes,,,,,,,,,,,
1196,Employee_196,30,Finance,132270,3.1,4,No,,,,,,,,,,,
1197,Employee_197,57,Finance,48443,4.5,23,No,,,,,,,,,,,
1198,Employee_198,22,Sales,92001,3.3,26,No,,,,,,,,,,,
1199,Employee_199,49,Sales,132828,4.6,28,No,,,,,,,,,,,
1200,Employee_200,55,IT,115064,3.7,22,Yes,,,,,,,,,,,
1201,Employee_201,36,Support,57993,3.3,8,No,,,,,,,,,,,
1202,Employee_202,45,Sales,56972,4.1,29,Yes,,,,,,,,,,,
1203,Employee_203,49,Sales,147897,4.8,1,Yes,,,,,,,,,,,
1204,Employee_204,57,Marketing,131882,3.3,2,No,,,,,,,,,,,
1205,Employee_205,42,Operations,124037,4.5,24,No,,,,,,,,,,,
1206,Employee_206,45,IT,59225,3.2,18,Yes,,,,,,,,,,,
1207,Employee_207,34,Sales,130929,3.3,16,No,,,,,,,,,,,
1208,Employee_208,51,Operations,122557,4.5,30,Yes,,,,,,,,,,,
1209,Employee_209,25,Operations,134713,4.4,24,No,,,,,,,,,,,
1210,Employee_210,44,IT,92636,4.6,26,No,,,,,,,,,,,
1211,Employee_211,43,Marketing,65189,4.5,18,Yes,,,,,,,,,,,
1212,Employee_212,51,Finance,44564,4.4,4,Yes,,,,,,,,,,,
1213,Employee_213,46,HR,100666,3.6,24,Yes,,,,,,,,,,,
1214,Employee_214,36,Operations,116450,2.8,13,No,,,,,,,,,,,
1215,Employee_215,51,IT,90808,3.6,21,No,,,,,,,,,,,
1216,Employee_216,28,Operations,95477,4,25,No,,,,,,,,,,,
1217,Employee_217,44,Operations,145335,4.2,20,No,,,,,,,,,,,
1218,Employee_218,32,HR,125298,4,30,No,,,,,,,,,,,
1219,Employee_219,55,Marketing,117236,4.6,8,Yes,,,,,,,,,,,
1220,Employee_220,42,Finance,86049,4.3,12,No,,,,,,,,,,,
1221,Employee_221,35,IT,75232,4.6,5,Yes,,,,,,,,,,,
1222,Employee_222,22,Finance,136508,4.4,1,No,,,,,,,,,,,
1223,Employee_223,34,Finance,74176,5,10,No,,,,,,,,,,,
1224,Employee_224,44,HR,122636,2.6,21,Yes,,,,,,,,,,,
1225,Employee_225,54,IT,140004,3.9,16,Yes,,,,,,,,,,,
1226,Employee_226,50,HR,69507,4.3,11,No,,,,,,,,,,,
1227,Employee_227,58,Marketing,133770,4.9,26,Yes,,,,,,,,,,,
1228,Employee_228,27,Marketing,146785,3,20,No,,,,,,,,,,,
1229,Employee_229,54,Finance,70357,4.8,20,No,,,,,,,,,,,
1230,Employee_230,25,Operations,65657,4.4,22,No,,,,,,,,,,,
1231,Employee_231,57,Marketing,76671,4.4,30,No,,,,,,,,,,,
1232,Employee_232,47,IT,103639,3.4,4,Yes,,,,,,,,,,,
1233,Employee_233,33,Sales,86559,4,13,No,,,,,,,,,,,
1234,Employee_234,36,Finance,86679,2.8,12,No,,,,,,,,,,,
1235,Employee_235,25,IT,114453,3.9,28,Yes,,,,,,,,,,,
1236,Employee_236,57,Support,49940,4.4,22,No,,,,,,,,,,,
1237,Employee_237,38,HR,117199,4.3,21,No,,,,,,,,,,,
1238,Employee_238,39,Sales,76323,2.8,15,No,,,,,,,,,,,
1239,Employee_239,51,Operations,138877,4.2,8,Yes,,,,,,,,,,,
1240,Employee_240,31,Support,79346,3,11,No,,,,,,,,,,,
1241,Employee_241,33,Operations,145182,4.9,13,Yes,,,,,,,,,,,
1242,Employee_242,42,Operations,59092,4.6,27,No,,,,,,,,,,,
1243,Employee_243,46,IT,76428,4.3,6,Yes,,,,,,,,,,,
1244,Employee_244,25,Sales,44178,4.3,28,No,,,,,,,,,,,
1245,Employee_245,42,Finance,45140,3.3,12,No,,,,,,,,,,,
1246,Employee_246,51,Support,67264,3.3,2,Yes,,,,,,,,,,,
1247,Employee_247,44,IT,111230,4.9,17,No,,,,,,,,,,,
1248,Employee_248,51,Finance,103810,4,1,Yes,,,,,,,,,,,
1249,Employee_249,49,IT,64233,4.6,17,Yes,,,,,,,,,,,
1250,Employee_250,43,IT,104716,3.4,8,No,,,,,,,,,,,
1251,Employee_251,56,IT,78302,4.1,21,No,,,,,,,,,,,
1252,Employee_252,31,Sales,112126,3.4,12,No,,,,,,,,,,,
1253,Employee_253,23,IT,75959,4.5,12,Yes,,,,,,,,,,,
1254,Employee_254,41,Sales,54298,4.2,15,No,,,,,,,,,,,
1255,Employee_255,48,Support,127783,4.2,26,No,,,,,,,,,,,
1256,Employee_256,38,Operations,52405,3.2,7,No,,,,,,,,,,,
1257,Employee_257,35,Marketing,56294,4.6,21,No,,,,,,,,,,,
1258,Employee_258,58,Operations,128671,4.1,9,No,,,,,,,,,,,
1259,Employee_259,23,Operations,70662,4.8,20,No,,,,,,,,,,,
1260,Employee_260,27,Support,134166,2.9,30,Yes,,,,,,,,,,,
1261,Employee_261,27,HR,129629,4.8,17,Yes,,,,,,,,,,,
1262,Employee_262,58,Finance,142201,3.8,12,No,,,,,,,,,,,
1263,Employee_263,57,Support,144331,4.6,16,No,,,,,,,,,,,
1264,Employee_264,48,Sales,43823,3.3,18,Yes,,,,,,,,,,,
1265,Employee_265,29,IT,60781,4,11,No,,,,,,,,,,,
1266,Employee_266,38,HR,135686,4.4,4,No,,,,,,,,,,,
1267,Employee_267,26,Sales,119952,4.7,25,Yes,,,,,,,,,,,
1268,Employee_268,45,Operations,51891,4.4,13,Yes,,,,,,,,,,,
1269,Employee_269,23,Support,115825,3,4,No,,,,,,,,,,,
1270,Employee_270,22,Support,111668,4.2,10,Yes,,,,,,,,,,,
1271,Employee_271,36,HR,126067,2.8,2,No,,,,,,,,,,,
1272,Employee_272,38,HR,56032,3.1,19,No,,,,,,,,,,,
1273,Employee_273,53,Marketing,87798,4.7,13,No,,,,,,,,,,,
1274,Employee_274,45,Marketing,149901,2.9,5,No,,,,,,,,,,,
1275,Employee_275,56,Support,133042,3,19,Yes,,,,,,,,,,,
1276,Employee_276,27,Finance,145326,3.6,24,Yes,,,,,,,,,,,
1277,Employee_277,41,Finance,86882,2.6,3,Yes,,,,,,,,,,,
1278,Employee_278,22,Finance,101087,3.5,23,No,,,,,,,,,,,
1279,Employee_279,36,Marketing,75172,4.3,17,No,,,,,,,,,,,
1280,Employee_280,52,Sales,82917,4.7,3,Yes,,,,,,,,,,,
1281,Employee_281,43,Support,116256,4.8,20,No,,,,,,,,,,,
1282,Employee_282,31,IT,144422,4.4,4,Yes,,,,,,,,,,,
1283,Employee_283,54,HR,100104,4.6,21,Yes,,,,,,,,,,,
1284,Employee_284,58,HR,71592,3.8,19,Yes,,,,,,,,,,,
1285,Employee_285,23,IT,83526,3.7,22,Yes,,,,,,,,,,,
1286,Employee_286,34,Finance,112736,4.5,5,No,,,,,,,,,,,
1287,Employee_287,33,Sales,63362,3.8,21,No,,,,,,,,,,,
1288,Employee_288,48,Finance,70780,3.9,3,No,,,,,,,,,,,
1289,Employee_289,23,IT,89331,3.5,9,Yes,,,,,,,,,,,
1290,Employee_290,27,Finance,140944,2.9,20,Yes,,,,,,,,,,,
1291,Employee_291,31,Support,89491,4.3,12,No,,,,,,,,,,,
1292,Employee_292,43,Finance,64327,3.4,28,No,,,,,,,,,,,
1293,Employee_293,57,Sales,53202,2.6,21,Yes,,,,,,,,,,,
1294,Employee_294,55,Finance,92244,2.9,13,No,,,,,,,,,,,
1295,Employee_295,48,Operations,40944,4,14,No,,,,,,,,,,,
1296,Employee_296,37,Support,106672,4.5,11,No,,,,,,,,,,,
1297,Employee_297,26,Support,73608,3.4,13,Yes,,,,,,,,,,,
1298,Employee_298,33,Support,70817,4.4,18,Yes,,,,,,,,,,,
1299,Employee_299,28,Sales,110808,4.4,12,No,,,,,,,,,,,
1300,Employee_300,51,Operations,48715,3.6,3,No,,,,,,,,,,,
1301,Employee_301,45,HR,53417,2.8,14,Yes,,,,,,,,,,,
1302,Employee_302,29,Finance,76310,2.9,24,No,,,,,,,,,,,
1303,Employee_303,28,Support,42192,4.9,24,Yes,,,,,,,,,,,
1304,Employee_304,39,Finance,87434,4.7,29,No,,,,,,,,,,,
1305,Employee_305,31,Sales,146660,4.7,7,No,,,,,,,,,,,
1306,Employee_306,27,IT,44000,4.7,6,No,,,,,,,,,,,
1307,Employee_307,52,Sales,62875,3,30,Yes,,,,,,,,,,,
1308,Employee_308,49,Finance,110563,4.1,20,Yes,,,,,,,,,,,
1309,Employee_309,47,Support,139962,4.2,15,Yes,,,,,,,,,,,
1310,Employee_310,51,Operations,90158,3.8,20,No,,,,,,,,,,,
1311,Employee_311,33,IT,148463,3.4,8,No,,,,,,,,,,,
1312,Employee_312,58,Marketing,117594,2.6,12,Yes,,,,,,,,,,,
1313,Employee_313,30,HR,109189,3.7,20,Yes,,,,,,,,,,,
1314,Employee_314,48,Operations,48857,2.9,30,Yes,,,,,,,,,,,
1315,Employee_315,25,Operations,118791,4.2,22,No,,,,,,,,,,,
1316,Employee_316,28,Support,106915,4.3,6,No,,,,,,,,,,,
1317,Employee_317,42,Operations,136570,4.4,11,No,,,,,,,,,,,
1318,Employee_318,36,Marketing,76843,2.7,7,Yes,,,,,,,,,,,
1319,Employee_319,43,Sales,93523,4,2,No,,,,,,,,,,,
1320,Employee_320,49,Sales,125389,2.7,19,Yes,,,,,,,,,,,
1321,Employee_321,44,Sales,87417,2.9,13,No,,,,,,,,,,,
1322,Employee_322,32,Sales,141797,3.2,24,No,,,,,,,,,,,
1323,Employee_323,59,Marketing,111739,3.9,5,Yes,,,,,,,,,,,
1324,Employee_324,55,Sales,99035,3,27,Yes,,,,,,,,,,,
1325,Employee_325,48,HR,103594,4.7,7,No,,,,,,,,,,,
1326,Employee_326,23,Finance,123985,3.8,25,Yes,,,,,,,,,,,
1327,Employee_327,55,Sales,104415,3.5,4,Yes,,,,,,,,,,,
1328,Employee_328,35,HR,79050,4.5,23,Yes,,,,,,,,,,,
1329,Employee_329,36,IT,123263,4.8,30,No,,,,,,,,,,,
1330,Employee_330,26,IT,83713,3.9,20,Yes,,,,,,,,,,,
1331,Employee_331,59,Operations,118934,4,2,Yes,,,,,,,,,,,
1332,Employee_332,49,Support,110904,3.7,3,Yes,,,,,,,,,,,
1333,Employee_333,22,Sales,141343,4.1,25,No,,,,,,,,,,,
1334,Employee_334,22,Marketing,105711,3.3,23,Yes,,,,,,,,,,,
1335,Employee_335,48,HR,97867,2.6,11,Yes,,,,,,,,,,,
1336,Employee_336,29,Marketing,107376,4.1,28,Yes,,,,,,,,,,,
1337,Employee_337,48,Marketing,112840,4.5,22,No,,,,,,,,,,,
1338,Employee_338,57,Marketing,62385,4.8,22,Yes,,,,,,,,,,,
1339,Employee_339,55,Operations,73263,3.9,27,No,,,,,,,,,,,
1340,Employee_340,45,Operations,78424,5,22,No,,,,,,,,,,,
1341,Employee_341,24,Support,80482,4,7,Yes,,,,,,,,,,,
1342,Employee_342,29,IT,85572,2.7,30,No,,,,,,,,,,,
1343,Employee_343,50,Operations,149917,4.7,28,Yes,,,,,,,,,,,
1344,Employee_344,32,IT,77420,4.6,17,No,,,,,,,,,,,
1345,Employee_345,24,IT,80165,2.6,9,Yes,,,,,,,,,,,
1346,Employee_346,32,IT,91940,4.3,1,Yes,,,,,,,,,,,
1347,Employee_347,53,Support,126317,4.3,18,Yes,,,,,,,,,,,
1348,Employee_348,30,Marketing,138631,3.6,13,Yes,,,,,,,,,,,
1349,Employee_349,30,HR,122047,2.9,28,No,,,,,,,,,,,
1350,Employee_350,23,Support,126232,2.5,1,Yes,,,,,,,,,,,
1351,Employee_351,41,Finance,126159,3.7,12,No,,,,,,,,,,,
1352,Employee_352,25,IT,121095,3.7,27,Yes,,,,,,,,,,,
1353,Employee_353,52,Support,87144,3.5,12,No,,,,,,,,,,,
1354,Employee_354,47,HR,141489,3.8,23,Yes,,,,,,,,,,,
1355,Employee_355,41,Marketing,85696,2.7,14,Yes,,,,,,,,,,,
1356,Employee_356,46,IT,94118,3.9,23,No,,,,,,,,,,,
1357,Employee_357,48,IT,51705,2.8,3,No,,,,,,,,,,,
1358,Employee_358,22,Marketing,53479,3.7,23,Yes,,,,,,,,,,,
1359,Employee_359,26,IT,112443,4.4,12,Yes,,,,,,,,,,,
1360,Employee_360,39,HR,107636,3,19,No,,,,,,,,,,,
1361,Employee_361,54,Marketing,100399,4.3,1,No,,,,,,,,,,,
1362,Employee_362,44,HR,47081,4.7,3,Yes,,,,,,,,,,,
1363,Employee_363,33,Support,110380,3.1,19,Yes,,,,,,,,,,,
1364,Employee_364,58,Operations,93711,5,9,No,,,,,,,,,,,
1365,Employee_365,33,IT,81629,4.5,3,Yes,,,,,,,,,,,
1366,Employee_366,24,Marketing,131577,3.9,8,Yes,,,,,,,,,,,
1367,Employee_367,26,IT,123254,4.3,1,Yes,,,,,,,,,,,
1368,Employee_368,47,IT,54797,3.1,25,No,,,,,,,,,,,
1369,Employee_369,35,Finance,140283,3.2,18,Yes,,,,,,,,,,,
1370,Employee_370,24,Marketing,122024,3.7,14,Yes,,,,,,,,,,,
1371,Employee_371,46,Sales,95681,4.4,7,No,,,,,,,,,,,
